port_name,mean
Yantian,0.042308215965228206
Kakinada,0.23168041376007817
Tuticorin,0.3119003539686551
Galle,0.021751730664341006
Kemaman,0.0011474030444427446
Bangkok,0.3413088893732602
Laem Chabang,0.10333628045371263
Sriracha,0.1210748164094165
Haimen,0.06368471050972686
Qinhuangdao,0.33262910359011677
Yingkou,0.43287162530988327
Alleppey,0.01841756937004193
Keelung,0.024429608598138013
Mongla,0.36468526937746515
Lianyungang,0.541216963954685
Zhanjiang,0.1449765766782035
Zhoushan,0.057400751386427654
Lhokseumawe,0.03285083435635818
Panjang,0.0954444496976225
Tanjung Priok,0.12595777066438205
Mangalore,0.004423508931828093
Porbandar,0.5172759003086548
Bassein,0.4478178013922914
Malacca,0.0028932969288462903
Port Dickson,0.002572143877194594
Songkhla,0.03987590143387328
Hai Phong,0.24896403493592953
Guangzhou,0.06444383257565629
Jiangyin,0.5033810417959756
Sanya,0.02440378401497006
Nunukan,3.660298226223394E-4
Ratnagiri,0.061507905105744866
Gwadar,0.003576781577871644
Bombay,0.16840965868006286
Jawaharlal Nehru Port,0.18870012405285932
Cochin,0.0372778141554018
Madras,0.3423472609730709
Calcutta,0.5216505582599763
Phuket,2.130308729353549E-4
Pulau Pinang,0.063386797628318
Belawan,0.047691227459517524
Semarang,0.18199522776737498
Kupang,0.006727131221440515
Kuching,7.460097256263994E-5
Miri,1.402262830613249E-4
Kota Kinabalu,0.003502930604522677
Pelabuhan Sandakan,6.825891973433628E-4
Ujungpandang,0.059272785624459264
Nanjing,0.5533480113022264
Hankow,0.4866149869912905
Chang Sha,0.24704822443774518
Dumaguete,0.014592684364935249
Jiangmen,0.08992907153823833
Wenzhou,0.057611377509915726
Yantai,0.3576809583510475
Zhuhai,0.051446723144285736
Banjarmasin,0.07544837180790244
Tanjung Pandan,4.279640400354638E-4
Kandla,0.4723702583611866
Pondicherry,0.4651695080633335
Trincomalee,0.11528111668128607
Subic Bay,0.14210667651820355
Beihai,0.09133510085133581
Port Blair,1.347234919202007E-4
Masbate,0.008907364573306565
Ningbo,0.10247440782662591
Xiamen,0.02945324303991166
Senipah,0.004702074435398077
Bhavnagar,0.6010737126661171
Visakhapatnam,0.19568550060412201
Colombo,0.01874656123868852
Kaohsiung,0.05223996448202338
Taichung,0.10318595683792267
Da Nang,0.039303180752129546
Haikou,0.07211562076456363
Surabaya,0.09267280706801632
Zamboanga,0.0019439148793978691
Chittagong,0.09851294534955947
Dalian,0.14226020918001364
Qingdao,0.4330543989884334
Shanghai,0.260598581075108
Hong Kong,0.0353763261137098
Surabaya,0.22403354596003328
Phnom Penh,0.6668005393050067
Male,0.0
Yangon,0.509100834920046
Singapore,0.001980506939387302
Bangkok,0.31571806687545706
Ho Chi Minh City,0.20678295928865162
Fuzhou,0.027797304066460138
Shantou,0.0402995907545774
Guangzhou,0.08856002588321359
Tianjin,0.527721333388912
Karachi,0.09045975276348
Taipei,0.025333112345800237
Manila,0.10067427743607728
