port_name,mean
Yantian,2248.0026559934563
Kakinada,445.45398808248393
Tuticorin,385.8075044764908
Galle,523.2099589931864
Kemaman,62.54904966057727
Bangkok,952.0933483176634
Laem Chabang,1137.4579001682653
Sriracha,1120.8945646247803
Haimen,458.22884747361655
Qinhuangdao,247.43130684855277
Yingkou,287.59859966742357
Alleppey,833.3675242210801
Keelung,1206.914059191317
Mongla,682.8742207302969
Lianyungang,417.2687950399331
Zhanjiang,595.465623387265
Zhoushan,892.9793313502216
Lhokseumawe,102.98407277062583
Panjang,347.68746465734006
Tanjung Priok,2499.369468976856
Mangalore,304.3072070415434
Porbandar,218.0488947465256
Bassein,137.6854950510327
Malacca,243.4561873427415
Port Dickson,550.0529601317814
Songkhla,163.1679816934587
Hai Phong,733.1019768094036
Guangzhou,2652.2106874811143
Jiangyin,1021.4814425204785
Sanya,156.63793394083658
Nunukan,51.084015316390044
Ratnagiri,169.75431534929416
Gwadar,14.054009607114999
Bombay,1690.9853393962164
Jawaharlal Nehru Port,1516.3381029446596
Cochin,813.4643890813521
Madras,1088.9621786791336
Calcutta,1556.5237462925081
Phuket,186.70150029152433
Pulau Pinang,274.7887373139133
Belawan,385.28134411745
Semarang,982.4636800136424
Kupang,201.97903341879493
Kuching,68.00770147893216
Miri,32.30518400939112
Kota Kinabalu,100.99223482002299
Pelabuhan Sandakan,49.83657226330159
Ujungpandang,385.76701423372305
Nanjing,598.817705333015
Hankow,581.1544510693815
Chang Sha,469.1462275840184
Dumaguete,269.99607162635675
Jiangmen,1617.8522649636102
Wenzhou,669.2611854022018
Yantai,388.8204053473859
Zhuhai,2901.651013284797
Banjarmasin,107.95901379699116
Tanjung Pandan,58.80604456107117
Kandla,164.93615827495276
Pondicherry,602.6489819260048
Trincomalee,108.8412767171696
Subic Bay,1649.6021736874752
Beihai,303.4521831012985
Port Blair,87.94925130540184
Masbate,305.4161249429165
Ningbo,694.5391168253184
Xiamen,755.563124975079
Senipah,178.46313357938737
Bhavnagar,487.29692407826616
Visakhapatnam,417.0158249431689
Colombo,703.1529838368718
Kaohsiung,402.91133140163663
Taichung,419.0359947301675
Da Nang,211.79066273547184
Haikou,374.33114764908686
Surabaya,574.2454244626016
Zamboanga,253.64039918881915
Chittagong,638.3431392374708
Dalian,678.5128160497087
Qingdao,565.8356459595404
Shanghai,2206.660599797866
Hong Kong,2908.8329057547494
Surabaya,1081.7453250383453
Phnom Penh,257.5044079278986
Male,4732.123740072672
Yangon,402.71548726397845
Singapore,624.5109556982321
Bangkok,977.808285024759
Ho Chi Minh City,786.8231135756937
Fuzhou,418.86380655246853
Shantou,882.9838808564067
Guangzhou,1823.7708064314497
Tianjin,726.6446013264303
Karachi,852.3800472267237
Taipei,986.4880782997551
Manila,1494.1079035938615
