port_name,mean
Yantian,0.4440794666923981
Kakinada,0.31185678118215093
Tuticorin,0.3102869842918073
Galle,0.4157891195479773
Kemaman,0.3850867934992825
Bangkok,0.24642037424140895
Laem Chabang,0.45428080491618117
Sriracha,0.41104577703697176
Haimen,0.4207321704903941
Qinhuangdao,0.2620325170748204
Yingkou,0.21700580934661998
Alleppey,0.34865039923023994
Keelung,0.622497168008998
Mongla,0.21767371273812713
Lianyungang,0.32325297440303125
Zhanjiang,0.38147299528391476
Zhoushan,0.6990719971508362
Lhokseumawe,0.34302974804310754
Panjang,0.40910418867862475
Tanjung Priok,0.4402524363793678
Mangalore,0.31561159233657987
Porbandar,0.3585765770379519
Bassein,0.2595718541886894
Malacca,0.4136164911926402
Port Dickson,0.4245754260865685
Songkhla,0.3304048809539791
Hai Phong,0.28317908964601624
Guangzhou,0.3344607226876685
Jiangyin,0.1327974763639374
Sanya,0.407890965492584
Nunukan,0.30518157297564635
Ratnagiri,0.31623888194827726
Gwadar,0.3545225080085175
Bombay,0.3501901847411829
Jawaharlal Nehru Port,0.3094064375678773
Cochin,0.3137113791364509
Madras,0.3582763614478226
Calcutta,0.11625398561634576
Phuket,0.676931747247474
Pulau Pinang,0.3964338317884962
Belawan,0.3179684722057604
Semarang,0.2844603278085063
Kupang,0.7673946594658146
Kuching,0.30209122616498923
Miri,0.3513966171188246
Kota Kinabalu,0.407470286906284
Pelabuhan Sandakan,0.409963339606462
Ujungpandang,0.6060193637881459
Nanjing,0.07010955202175122
Hankow,0.09000525332102581
Chang Sha,0.03591970594337468
Dumaguete,0.5894517387175943
Jiangmen,0.2776983996045964
Wenzhou,0.3541835317767724
Yantai,0.40987297084287266
Zhuhai,0.5123438885674511
Banjarmasin,0.20379985991779473
Tanjung Pandan,0.8018265596771823
Kandla,0.20307758461680875
Pondicherry,0.2644221205412023
Trincomalee,0.32245158335569224
Subic Bay,0.44176852723112225
Beihai,0.4564128296559347
Port Blair,0.8733912650218896
Masbate,0.7504070246257178
Ningbo,0.45812641313116964
Xiamen,0.29488403103404803
Senipah,0.4488417918275266
Bhavnagar,0.25676799386050264
Visakhapatnam,0.3143278283410527
Colombo,0.32509961467827986
Kaohsiung,0.5128538540316885
Taichung,0.33147425957593457
Da Nang,0.4030724413362047
Haikou,0.4365382142344972
Surabaya,0.532169704725816
Zamboanga,0.8077842991392776
Chittagong,0.31653911654094846
Dalian,0.6839860361056763
Qingdao,0.40048249252055096
Shanghai,0.4571505371245596
Hong Kong,0.5576030242406476
Surabaya,0.39323277151868236
Phnom Penh,0.02366098019711921
Male,0.9996229759599944
Yangon,0.2849079877620448
Singapore,0.5648004173429457
Bangkok,0.2711295575127141
Ho Chi Minh City,0.17742279402411748
Fuzhou,0.31869488344143165
Shantou,0.38410262422794766
Guangzhou,0.11422505931665423
Tianjin,0.24633868036278914
Karachi,0.38806381268349466
Taipei,0.5602437606718196
Manila,0.3753335219018586
