port_name,mean
Yantian,0.010393193361390366
Kakinada,0.01635675626272499
Tuticorin,0.11481957878348119
Galle,0.012551089133459495
Kemaman,0.01511538941626099
Bangkok,0.04870934117098926
Laem Chabang,0.026644261310473816
Sriracha,0.028604221404636115
Haimen,0.010006049043570251
Qinhuangdao,0.12526229807037384
Yingkou,0.03957152572877854
Alleppey,0.012919179012353543
Keelung,0.0017643586291066111
Mongla,0.0012581062716476594
Lianyungang,0.011472821529988322
Zhanjiang,0.019080036947796745
Zhoushan,0.007368706582191046
Lhokseumawe,0.012658193272397417
Panjang,0.02154593835692467
Tanjung Priok,0.009396476264932242
Mangalore,0.020592922492725138
Porbandar,0.009784571990222321
Bassein,0.005303071924021692
Malacca,0.018003000270934162
Port Dickson,0.012626762069821383
Songkhla,0.02360020698349624
Hai Phong,0.014421670921839413
Guangzhou,0.012662114040442533
Jiangyin,0.012498130171405981
Sanya,0.009989990602661258
Nunukan,0.00684312653409558
Ratnagiri,0.17717629266275636
Gwadar,0.0
Bombay,0.12015448560073502
Jawaharlal Nehru Port,0.13550345628370492
Cochin,0.0193570388318935
Madras,0.04713174195443167
Calcutta,0.0026018214132737137
Phuket,0.0024287190345006426
Pulau Pinang,0.010733888962628555
Belawan,0.021933376642666504
Semarang,0.010108031672855108
Kupang,0.04763840376217374
Kuching,0.009752687536605676
Miri,0.011181258876415369
Kota Kinabalu,0.018716277514814972
Pelabuhan Sandakan,0.012415092930503984
Ujungpandang,0.016868446058008846
Nanjing,0.018280233777784264
Hankow,0.030013637582716177
Chang Sha,0.004368826839978674
Dumaguete,0.02674643703659496
Jiangmen,0.01619971894246829
Wenzhou,0.010525765369360437
Yantai,0.05996907129040436
Zhuhai,0.012499020947924537
Banjarmasin,0.12831799541270142
Tanjung Pandan,0.013725973938591967
Kandla,0.007327932442076785
Pondicherry,0.041054337429117335
Trincomalee,0.09435737114249895
Subic Bay,0.059942367278788745
Beihai,0.010553840988979513
Port Blair,5.838017983208698E-4
Masbate,0.04394118654327859
Ningbo,0.011107795290312975
Xiamen,0.032558138915666834
Senipah,0.017378426136168013
Bhavnagar,0.018912593755784336
Visakhapatnam,0.09948199068895534
Colombo,0.009854549306401053
Kaohsiung,0.007405879536646984
Taichung,0.013006793286653197
Da Nang,0.024597777918058696
Haikou,0.012913738345646414
Surabaya,0.020702135314347284
Zamboanga,0.002389395372593214
Chittagong,0.010794743777862006
Dalian,0.04170953749264754
Qingdao,0.02281634989660284
Shanghai,0.019980098383181665
Hong Kong,0.010042951606361275
Surabaya,0.027177855738767843
Phnom Penh,0.09793217510883416
Male,4.1891560000624264E-5
Yangon,0.02696793928050024
Singapore,0.020123817564721536
Bangkok,0.05172466141923542
Ho Chi Minh City,0.03983593987444409
Fuzhou,0.02202647671213688
Shantou,0.028821790610315114
Guangzhou,0.01234158267036674
Tianjin,0.016942759656442194
Karachi,0.03044023323485843
Taipei,0.0029222086539684505
Manila,0.02828246127740435
