port_name,mean
Yantian,0.13813942009795288
Kakinada,0.012094129471280768
Tuticorin,0.020705588579834552
Galle,0.0054958071807236115
Kemaman,0.008074317720152649
Bangkok,0.11939663706102892
Laem Chabang,0.09977508769296177
Sriracha,0.10642193427634258
Haimen,0.05153509533728049
Qinhuangdao,0.0643566952992298
Yingkou,0.06347171592102371
Alleppey,0.010302657161020103
Keelung,0.036798404368696816
Mongla,0.00234201676060865
Lianyungang,0.08347802260818735
Zhanjiang,0.031687513223466045
Zhoushan,0.06282782580650433
Lhokseumawe,0.0025249123834916822
Panjang,0.01622786641944754
Tanjung Priok,0.09997619026107271
Mangalore,0.004047882553438917
Porbandar,0.0107978275328434
Bassein,3.0382320798916034E-4
Malacca,0.024997300655940607
Port Dickson,0.051576999625996024
Songkhla,0.00819589352554159
Hai Phong,0.07025538119972598
Guangzhou,0.22508046324071587
Jiangyin,0.24415763917479602
Sanya,0.011324950120956212
Nunukan,0.001830149113111697
Ratnagiri,0.001539521863592798
Gwadar,2.1290366534950264E-4
Bombay,0.03366511175264905
Jawaharlal Nehru Port,0.03571815018702953
Cochin,0.009875248017646497
Madras,0.040921559280298794
Calcutta,0.020981204035554306
Phuket,0.00519795329962266
Pulau Pinang,0.024708770267651427
Belawan,0.019510804578386647
Semarang,0.05677470865867393
Kupang,0.00400011668727041
Kuching,0.004886363702852916
Miri,0.003599141265240672
Kota Kinabalu,0.004203516725427212
Pelabuhan Sandakan,0.0011262721756165486
Ujungpandang,0.008166523759885039
Nanjing,0.10987790521727483
Hankow,0.07109780876042571
Chang Sha,0.04971787614873428
Dumaguete,0.0010299712789425667
Jiangmen,0.17593327575677606
Wenzhou,0.06176806229084036
Yantai,0.05081881428274096
Zhuhai,0.1739373810925463
Banjarmasin,0.005196305235095383
Tanjung Pandan,8.948339018923334E-4
Kandla,0.01660947485907248
Pondicherry,0.014225595045809222
Trincomalee,0.0012852526747956239
Subic Bay,0.052578938156485004
Beihai,0.018693032618231815
Port Blair,2.6944698384040146E-4
Masbate,0.0010891524685320362
Ningbo,0.08654800837231529
Xiamen,0.08501666075784116
Senipah,0.00718326596376963
Bhavnagar,0.020635364306525406
Visakhapatnam,0.013200485929124773
Colombo,0.012378187322332548
Kaohsiung,0.04206601806880036
Taichung,0.054159969663194564
Da Nang,0.01639664463024706
Haikou,0.016064761095161827
Surabaya,0.011922503725782416
Zamboanga,0.0016604272928190129
Chittagong,0.003866980811407446
Dalian,0.04524256742788668
Qingdao,0.08700585470398911
Shanghai,0.2052232969473178
Hong Kong,0.14596940779903236
Surabaya,0.057442121918835055
Phnom Penh,0.01788122770623233
Male,1.6756624000249708E-4
Yangon,0.00964464004818666
Singapore,0.031633696698759886
Bangkok,0.11985568199241299
Ho Chi Minh City,0.06388957882934672
Fuzhou,0.04891745918831074
Shantou,0.06267610632476567
Guangzhou,0.22324007747977928
Tianjin,0.1720441835119611
Karachi,0.026741695070424516
Taipei,0.03644168993516015
Manila,0.049773025644053594
