system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000004_0,1.0450867101522015E-5,1.3274611318602075E-5,2019-01-01,2018.0,Kemaman,2018-12-05,181.84877179345415,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_1,1.2648228244293255E-5,1.79841389902728E-5,2020-01-01,2019.0,Kemaman,2019-01-01,185.54898648795995,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2,1.0904407984049472E-5,1.4764417303419443E-5,2021-01-01,2020.0,Kemaman,2020-01-01,189.27296859955644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_3,1.2548066019781023E-5,1.7258556546085533E-5,2022-01-01,2020,Kemaman,2021-01-01,189.27296859955644,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_4,1.2361500270941413E-5,1.7037110657239248E-5,2023-01-01,2020,Kemaman,2022-01-01,189.27296859955644,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_5,1.4595049423070906E-5,1.922713101004004E-5,2024-01-01,2020,Kemaman,2023-01-01,189.27296859955644,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_6,1.2964206359014134E-5,1.742867399554949E-5,2025-01-01,2020,Kemaman,2024-01-01,189.27296859955644,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_7,1.3333947069823362E-5,1.758667438151703E-5,2026-01-01,2020,Kemaman,2025-01-01,189.27296859955644,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,6.516759503989645E-5,1.1711259704861786E-4,2019-01-01,2018.0,Bangkok,2018-12-05,4470.919311425059,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_1,4.718309046578389E-5,7.884758682961124E-5,2020-01-01,2019.0,Bangkok,2019-01-01,4638.114897896964,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_2,4.343887187264972E-5,7.40086178459008E-5,2021-01-01,2020.0,Bangkok,2020-01-01,4811.404388285264,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_3,4.899962285691265E-5,8.769479144558449E-5,2022-01-01,2020,Bangkok,2021-01-01,4811.404388285264,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_4,4.871219859435245E-5,8.45471243472613E-5,2023-01-01,2020,Bangkok,2022-01-01,4811.404388285264,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
