port_name,latitude,longitude
Yantian,22.574167869362384,114.26701955945425
Kakinada,16.97777755133619,82.27461936836987
Tuticorin,8.758334415923615,78.18704169649497
Galle,6.033333171152304,80.2249712736482
Kemaman,4.24944304011496,103.45918865824481
Bangkok,13.695834584989488,100.58492346481044
Laem Chabang,13.073888088256963,100.89092927460317
Sriracha,13.17139079189161,100.91861137394295
Haimen,28.690279792470857,121.44181571377291
Qinhuangdao,39.906666909500196,119.58598244633926
Yingkou,40.69583415483799,122.23509870938304
Alleppey,9.491945721236531,76.31042455905123
Keelung,25.220760281209902,121.72583815537212
Mongla,22.486943393655928,89.58598441065239
Lianyungang,34.74527973564186,119.40847901070475
Zhanjiang,21.16972048336696,110.40636108108819
Zhoushan,30.00333344327485,122.10265003079253
Lhokseumawe,5.166666749505616,97.14287201603871
Panjang,-5.460276258369761,105.30706688939908
Tanjung Priok,-6.101387971429996,106.8904000323556
Mangalore,12.926942872141709,74.80742212157254
Porbandar,21.639446647438003,69.5873977688614
Bassein,16.779722118946335,94.72338162084318
Malacca,2.2488896479917337,102.12338021476506
Port Dickson,2.53610926504629,101.7886354986829
Songkhla,7.228613044932686,100.56966888010659
Hai Phong,20.867223986103305,106.6751458472026
Guangzhou,22.640278501580774,113.67108299916649
Jiangyin,31.931943699001785,120.22126165522162
Sanya,18.23972098586559,109.50053037488908
Nunukan,4.145554903771779,117.65494643963928
Ratnagiri,17.001945879045866,73.2717924416858
Gwadar,25.11222130246798,62.33863404626818
Bombay,18.829998946916536,72.82999808661354
Jawaharlal Nehru Port,18.949997815365823,72.92999788683812
Cochin,9.959999722412531,76.23000021245127
Madras,13.100000584025945,80.30000010797347
Calcutta,22.549999541652706,88.30999926690569
Phuket,7.829998626707771,98.39999962143038
Pulau Pinang,5.4099998939921585,100.3500001849107
Belawan,3.7799977994102845,98.6799999538794
Semarang,-6.94999949291128,110.40999970754781
Kupang,-10.159999322861687,123.57999925991075
Kuching,1.5599986671438264,110.34999804377263
Miri,4.3800010598588015,113.9600015337224
Kota Kinabalu,5.979997863452038,116.0600017975396
Pelabuhan Sandakan,5.829998163115172,118.11000216124447
Ujungpandang,-5.129999561543132,119.39999780050108
Nanjing,32.079999231279345,118.74999909904135
Hankow,30.580002227910686,114.28000000262084
Chang Sha,28.20000163164448,112.97999814060027
Dumaguete,9.31194518901208,123.30812786868213
Jiangmen,22.502501197231403,113.00194137688429
Wenzhou,27.998334327401334,120.88474467826697
Yantai,37.57111017343369,121.38898874359276
Zhuhai,22.239721913050783,113.58421525154432
Banjarmasin,-3.3219455618971643,114.55530044255954
Tanjung Pandan,-2.7499989652769283,107.62709257649644
Kandla,23.013612278179473,70.22232024965945
Pondicherry,11.91416508627676,79.82231890762309
Trincomalee,8.55833481547446,81.20388664611328
Subic Bay,14.808331247712646,120.27479316336819
Beihai,21.458612263316564,109.07055263760846
Port Blair,11.672223181318893,92.72391179027595
Masbate,12.368056982507015,123.61984578692433
Ningbo,29.86666645508779,121.5533556675238
Xiamen,24.450000205020732,118.02002196108698
Senipah,-1.0499979023580615,117.21666585619714
Bhavnagar,21.7700002080808,72.2060048624975
Visakhapatnam,17.693333956483702,83.28721879019267
Colombo,6.951390732439955,79.85017491190395
Kaohsiung,22.565276421861814,120.30706813679305
Taichung,24.25833466444047,120.50388839819108
Da Nang,16.082220613964225,108.2232030417253
Haikou,20.027775917286846,110.27496920944735
Surabaya,-7.616666314108814,113.91666798968502
Zamboanga,6.902777612755289,122.07143632341841
Chittagong,22.268888893041375,91.825853297213
Dalian,38.93361079581934,121.65035449273941
Qingdao,36.09583442630533,120.31702085034433
Shanghai,31.22194333376687,121.48721828069908
Hong Kong,22.321109425478273,114.1561841436698
Surabaya,-7.206388885282311,112.72391196710088
Phnom Penh,11.583054537553135,104.92090873817067
Male,4.17499834802768,73.50706799056877
Yangon,16.765832019164858,96.1687858500145
Singapore,1.2927781183139755,103.7221418473665
Bangkok,13.606942405489043,100.56913824708126
Ho Chi Minh City,10.793887292215338,106.7217925033227
Fuzhou,26.04749991202404,119.30052863330188
Shantou,23.354720131464926,116.7040654354972
Guangzhou,23.094165938709974,113.40936498103657
Tianjin,39.00944226833424,117.4565387382662
Karachi,24.834998989975247,66.97373581829358
Taipei,25.151942974652073,121.37461706089749
Manila,14.524166114879701,120.94340415262508
