system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000004_0,-2.7399496702149408E-5,-2.5759999772013778E-5,2019-01-01,2018.0,Kemaman,2018-12-05,181.84877179345415,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_1,-1.0463121555671497E-5,-1.441268909342056E-5,2020-01-01,2019.0,Kemaman,2019-01-01,185.54898648795995,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2,-1.8947927108035345E-5,-2.397026410089861E-5,2021-01-01,2020.0,Kemaman,2020-01-01,189.27296859955644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_3,-9.503835647176143E-6,-7.285467739887539E-6,2022-01-01,2020,Kemaman,2021-01-01,189.27296859955644,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_4,-3.3263411752118333E-7,4.938697283735773E-6,2023-01-01,2020,Kemaman,2022-01-01,189.27296859955644,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_5,-8.448421833869799E-7,-1.4540990673032055E-6,2024-01-01,2020,Kemaman,2023-01-01,189.27296859955644,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_6,9.93994615643788E-5,1.4294580248461273E-4,2025-01-01,2020,Kemaman,2024-01-01,189.27296859955644,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_7,1.2488194669368126E-5,1.9136142316548413E-5,2026-01-01,2020,Kemaman,2025-01-01,189.27296859955644,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,4.63710081073583E-5,5.0006708994352196E-5,2019-01-01,2018.0,Bangkok,2018-12-05,4470.919311425059,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_1,-1.3796341941821136E-5,-2.0276061490453893E-5,2020-01-01,2019.0,Bangkok,2019-01-01,4638.114897896964,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_2,4.031344918060506E-6,9.347122763955218E-6,2021-01-01,2020.0,Bangkok,2020-01-01,4811.404388285264,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_3,1.739974018669897E-5,1.732397754651919E-5,2022-01-01,2020,Bangkok,2021-01-01,4811.404388285264,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_4,1.4066975395011519E-5,2.0260426314974932E-5,2023-01-01,2020,Bangkok,2022-01-01,4811.404388285264,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_5,2.200006206481196E-5,2.5870043104710517E-5,2024-01-01,2020,Bangkok,2023-01-01,4811.404388285264,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
