system:index,CO_area_mean_mol_per_m2,NO2_area_mean_mol_per_m2,SO2_area_mean_mol_per_m2,end_date,population_year_used,port_name,start_date,total_pollution_area_mean_mol_per_m2,total_pollution_population_weighted_exposure_mol_per_m2,total_population,year,.geo
00000000000000000006_0,0.0421253170218426,5.566589842771723E-5,4.492038129865782E-5,2019-01-01,2018.0,Laem Chabang,2018-12-05,0.04222585674555072,0.04525449528630401,3330.8086111109633,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_1,0.03823332940662599,3.6550511350950536E-5,-7.870470180348442E-6,2020-01-01,2019.0,Laem Chabang,2019-01-01,0.03826200944779659,0.039900062496560536,3464.401439123704,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2,0.0407115473089782,3.431742208019937E-5,5.992752527506351E-6,2021-01-01,2020.0,Laem Chabang,2020-01-01,0.04075185748358588,0.04151516369656071,3602.788478947328,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_3,0.037422491861261176,3.854703902373694E-5,1.9464869095384176E-5,2022-01-01,2020,Laem Chabang,2021-01-01,0.03748050376938036,0.039151221522922955,3602.788478947328,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_4,0.03482737364383005,3.855740865761647E-5,1.3945319634865189E-5,2023-01-01,2020,Laem Chabang,2022-01-01,0.03487987637212249,0.036996946973823525,3602.788478947328,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_5,0.039122271462336884,4.117741500044049E-5,1.9758973414793025E-5,2024-01-01,2020,Laem Chabang,2023-01-01,0.03918320785075217,0.040937471249980914,3602.788478947328,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_6,0.038729855651869115,3.736990258648989E-5,1.2360175970929174E-5,2025-01-01,2020,Laem Chabang,2024-01-01,0.03877958573042658,0.04051485689482246,3602.788478947328,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_7,0.036079307670917826,4.2091496092559035E-5,2.9341887311351584E-5,2026-01-01,2020,Laem Chabang,2025-01-01,0.03615074105432176,0.038318919619555844,3602.788478947328,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.04220191925470084,5.720082146267002E-5,4.606226906625821E-5,2019-01-01,2018.0,Sriracha,2018-12-05,0.04230509387166984,0.04525466106867881,3743.7737034175607,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_1,0.03834896289321987,3.8405736105655064E-5,-9.795380190591305E-6,2020-01-01,2019.0,Sriracha,2019-01-01,0.03837757324913493,0.03994645348036288,3897.16472538283,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_2,0.040715026652170846,3.595392214794592E-5,3.851832620087606E-6,2021-01-01,2020.0,Sriracha,2020-01-01,0.040754832406938765,0.041552673176861545,4060.1005962321574,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_3,0.037607664952525245,4.0421215163260586E-5,1.886976458003303E-5,2022-01-01,2020,Sriracha,2021-01-01,0.03766695593226859,0.03919482893190329,4060.1005962321574,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_4,0.035064634668484126,4.0344530018886106E-5,1.2948788012332397E-5,2023-01-01,2020,Sriracha,2022-01-01,0.035117927986515286,0.03700977195167183,4060.1005962321574,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_5,0.03927997095457895,4.3095098944893043E-5,1.856267611154107E-5,2024-01-01,2020,Sriracha,2023-01-01,0.039341628729635425,0.040935356442426,4060.1005962321574,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_6,0.03886319596408175,3.9240325931999655E-5,1.1268058990256039E-5,2025-01-01,2020,Sriracha,2024-01-01,0.03891370434900404,0.04052846514038494,4060.1005962321574,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_7,0.03627093992600328,4.391281474244425E-5,2.9873457249212848E-5,2026-01-01,2020,Sriracha,2025-01-01,0.03634472619799493,0.038335376014049696,4060.1005962321574,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.04289471969860856,5.926030888454032E-5,1.2370122183878496E-4,2019-01-01,2018.0,Haimen,2018-12-05,0.04311823508718563,0.04154926920302626,1687.6045375417564,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_1,0.04162498855376493,4.6059098738049496E-5,7.134977859142724E-5,2020-01-01,2019.0,Haimen,2019-01-01,0.04174239743109439,0.042436300669261635,1710.6554260919177,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
