port_name,mean
Yantian,0.35736178846283545
Kakinada,0.41257548108911357
Tuticorin,0.1302060409219125
Galle,0.5430881711199032
Kemaman,0.5867674181531661
Bangkok,0.23493119671438004
Laem Chabang,0.31002750166027915
Sriracha,0.32716671785829493
Haimen,0.4506974000691981
Qinhuangdao,0.21042115750672843
Yingkou,0.2386245626624512
Alleppey,0.6025168985598666
Keelung,0.31398466646504963
Mongla,0.25496671258087833
Lianyungang,0.03289901699487504
Zhanjiang,0.4166735882617988
Zhoushan,0.16685604654612896
Lhokseumawe,0.6072820590037369
Panjang,0.4550984319948693
Tanjung Priok,0.3206083654029612
Mangalore,0.6549602390738829
Porbandar,0.019428637461007807
Bassein,0.271427843311951
Malacca,0.5289104747546345
Port Dickson,0.4919060979033214
Songkhla,0.5767922805895612
Hai Phong,0.3705853215261145
Guangzhou,0.3520658459870985
Jiangyin,0.10184010189229298
Sanya,0.5456765524082638
Nunukan,0.6037900071901046
Ratnagiri,0.4381754775041719
Gwadar,4.258073306990053E-5
Bombay,0.3078048460580755
Jawaharlal Nehru Port,0.3069115865125391
Cochin,0.6122032343510102
Madras,0.1541203133375338
Calcutta,0.2845571908072664
Phuket,0.2860693849071887
Pulau Pinang,0.48456957262737793
Belawan,0.5738238590416235
Semarang,0.46296580594149583
Kupang,0.17059045960473837
Kuching,0.6680505390871065
Miri,0.6319065568710145
Kota Kinabalu,0.5575472573897015
Pelabuhan Sandakan,0.513310422427686
Ujungpandang,0.30663660201502013
Nanjing,0.24256109945026855
Hankow,0.3115364368993011
Chang Sha,0.6576120664281577
Dumaguete,0.3656868151618244
Jiangmen,0.43018531142933863
Wenzhou,0.512238259946703
Yantai,0.11830391711046642
Zhuhai,0.24093764133090448
Banjarmasin,0.5175039373934756
Tanjung Pandan,0.17224629551733223
Kandla,0.005349399870770021
Pondicherry,0.1582090483157399
Trincomalee,0.46469965325058876
Subic Bay,0.2977402473322257
Beihai,0.41597017471857556
Port Blair,0.11056836231003768
Masbate,0.19243732131395672
Ningbo,0.3340882295911831
Xiamen,0.5481409965142146
Senipah,0.47037020163571874
Bhavnagar,0.030413427632680144
Visakhapatnam,0.3756707537597268
Colombo,0.6327246827316934
Kaohsiung,0.38261887531537436
Taichung,0.4952027285196865
Da Nang,0.5125460136150667
Haikou,0.4588365256999894
Surabaya,0.34066252852428663
Zamboanga,0.17815693999846263
Chittagong,0.5559874206767613
Dalian,0.08064646540035575
Qingdao,0.05158118109095136
Shanghai,0.04775472418144547
Hong Kong,0.24266085873024598
Surabaya,0.2890215066828342
Phnom Penh,0.16593165086602762
Male,8.378312000124853E-5
Yangon,0.16419004447496427
Singapore,0.3540879078500785
Bangkok,0.23220191922590963
Ho Chi Minh City,0.49069870819795514
Fuzhou,0.5774702931352678
Shantou,0.4797291929679209
Guangzhou,0.5516106252014952
Tianjin,0.017136307364687586
Karachi,0.005797604577404867
Taipei,0.37439033471703154
Manila,0.44144267416792093
